Time Since Launch (m,s,ms), Pressure (hpa), Temperature (*C), Humidity (%), Altitude Above Launch (m), Time Since Launch (ms)
7m24s635ms, 994 hPa, 30 *C, 36 %, -1 m above launch, -111.02 yaw, -86.65 pitch, -133.34 roll, 444635 ms, 0 flight state
7m25s821ms, 994 hPa, 30 *C, 36 %, -1 m above launch, -67.40 yaw, -85.37 pitch, -157.83 roll, 445821 ms, 0 flight state
7m26s986ms, 994 hPa, 30 *C, 36 %, -1 m above launch, -40.22 yaw, -86.81 pitch, -157.53 roll, 446986 ms, 0 flight state
7m28s171ms, 994 hPa, 30 *C, 36 %, -1 m above launch, -15.78 yaw, -88.56 pitch, -158.41 roll, 448171 ms, 0 flight state
7m29s337ms, 994 hPa, 30 *C, 36 %, -1 m above launch, -43.24 yaw, -88.82 pitch, -116.60 roll, 449337 ms, 0 flight state
7m30s521ms, 994 hPa, 30 *C, 36 %, -1 m above launch, -71.70 yaw, -87.74 pitch, -80.50 roll, 450521 ms, 0 flight state
7m31s684ms, 994 hPa, 30 *C, 36 %, -1 m above launch, -59.78 yaw, -87.40 pitch, -96.65 roll, 451684 ms, 0 flight state
7m32s865ms, 994 hPa, 30 *C, 36 %, -2 m above launch, -57.37 yaw, -87.69 pitch, -114.79 roll, 452865 ms, 0 flight state
7m34s31ms, 994 hPa, 30 *C, 36 %, -1 m above launch, -65.26 yaw, -87.30 pitch, -123.94 roll, 454031 ms, 0 flight state
7m35s213ms, 994 hPa, 30 *C, 36 %, -2 m above launch, -77.15 yaw, -88.25 pitch, -119.13 roll, 455213 ms, 0 flight state
7m36s378ms, 994 hPa, 30 *C, 36 %, -2 m above launch, -94.03 yaw, -82.97 pitch, -104.92 roll, 456378 ms, 0 flight state
7m37s563ms, 994 hPa, 30 *C, 36 %, -2 m above launch, -69.29 yaw, -84.95 pitch, -124.73 roll, 457563 ms, 0 flight state
7m38s728ms, 994 hPa, 30 *C, 36 %, -1 m above launch, -14.02 yaw, -86.71 pitch, -152.08 roll, 458728 ms, 0 flight state
7m39s913ms, 994 hPa, 30 *C, 36 %, -1 m above launch, -144.73 yaw, -89.46 pitch, 3.09 roll, 459913 ms, 0 flight state
7m41s74ms, 994 hPa, 30 *C, 36 %, -1 m above launch, 125.98 yaw, -88.80 pitch, 95.84 roll, 461074 ms, 0 flight state
7m42s251ms, 994 hPa, 30 *C, 36 %, -1 m above launch, -7.21 yaw, -88.20 pitch, -132.81 roll, 462251 ms, 0 flight state
7m43s414ms, 994 hPa, 30 *C, 36 %, -1 m above launch, -44.29 yaw, -88.02 pitch, -96.65 roll, 463414 ms, 0 flight state
7m44s597ms, 994 hPa, 30 *C, 36 %, -1 m above launch, -32.84 yaw, -88.30 pitch, -101.51 roll, 464597 ms, 0 flight state
7m45s762ms, 994 hPa, 30 *C, 36 %, -2 m above launch, 48.44 yaw, -86.62 pitch, -173.27 roll, 465762 ms, 0 flight state
7m46s944ms, 994 hPa, 30 *C, 36 %, -1 m above launch, -69.17 yaw, -82.90 pitch, -43.87 roll, 466944 ms, 0 flight state
7m48s107ms, 994 hPa, 30 *C, 36 %, -1 m above launch, -63.63 yaw, -77.00 pitch, -36.29 roll, 468107 ms, 0 flight state
7m49s288ms, 994 hPa, 30 *C, 36 %, -1 m above launch, 60.94 yaw, -86.20 pitch, -141.45 roll, 469288 ms, 0 flight state
7m50s451ms, 994 hPa, 30 *C, 36 %, -1 m above launch, 145.45 yaw, -86.28 pitch, -7.66 roll, 470451 ms, 0 flight state
7m51s632ms, 994 hPa, 30 *C, 36 %, -1 m above launch, -3.63 yaw, -85.12 pitch, -104.57 roll, 471632 ms, 0 flight state
7m52s795ms, 994 hPa, 30 *C, 35 %, -1 m above launch, -175.89 yaw, -87.69 pitch, 161.16 roll, 472795 ms, 0 flight state
7m53s980ms, 994 hPa, 30 *C, 35 %, -1 m above launch, -96.75 yaw, -85.57 pitch, -65.67 roll, 473980 ms, 0 flight state
7m55s143ms, 994 hPa, 30 *C, 35 %, -1 m above launch, -50.47 yaw, -87.43 pitch, -44.06 roll, 475143 ms, 0 flight state
7m56s325ms, 994 hPa, 30 *C, 35 %, -1 m above launch, -151.23 yaw, -88.55 pitch, 161.76 roll, 476325 ms, 0 flight state
7m57s490ms, 994 hPa, 30 *C, 35 %, -1 m above launch, 39.37 yaw, -86.02 pitch, -113.91 roll, 477490 ms, 0 flight state
7m58s672ms, 994 hPa, 30 *C, 35 %, -1 m above launch, 69.79 yaw, -87.75 pitch, 165.66 roll, 478672 ms, 0 flight state
7m59s833ms, 994 hPa, 30 *C, 35 %, -1 m above launch, 63.95 yaw, -88.78 pitch, -176.87 roll, 479833 ms, 0 flight state
8m1s15ms, 994 hPa, 30 *C, 35 %, -1 m above launch, 33.59 yaw, -88.73 pitch, -123.09 roll, 481015 ms, 0 flight state
8m2s175ms, 994 hPa, 30 *C, 35 %, -1 m above launch, -12.02 yaw, -88.12 pitch, -55.57 roll, 482175 ms, 0 flight state
8m3s355ms, 994 hPa, 30 *C, 35 %, -1 m above launch, 7.31 yaw, -85.00 pitch, -16.42 roll, 483355 ms, 0 flight state
8m4s512ms, 994 hPa, 30 *C, 35 %, -1 m above launch, -101.03 yaw, -86.44 pitch, 138.52 roll, 484512 ms, 0 flight state
8m5s693ms, 994 hPa, 30 *C, 35 %, -1 m above launch, 153.37 yaw, -87.88 pitch, 177.88 roll, 485693 ms, 0 flight state
8m6s855ms, 994 hPa, 30 *C, 35 %, -1 m above launch, 61.56 yaw, -88.43 pitch, -141.35 roll, 486855 ms, 0 flight state
8m8s34ms, 994 hPa, 30 *C, 35 %, -1 m above launch, 41.25 yaw, -86.31 pitch, -122.25 roll, 488034 ms, 0 flight state
8m9s193ms, 994 hPa, 30 *C, 35 %, -1 m above launch, 23.26 yaw, -83.81 pitch, -65.70 roll, 489193 ms, 0 flight state
8m10s371ms, 994 hPa, 30 *C, 35 %, -1 m above launch, 110.93 yaw, -87.16 pitch, -101.26 roll, 490371 ms, 0 flight state
8m11s536ms, 994 hPa, 30 *C, 35 %, -1 m above launch, -154.92 yaw, -87.84 pitch, -153.35 roll, 491536 ms, 0 flight state
8m12s722ms, 994 hPa, 30 *C, 35 %, -1 m above launch, -88.42 yaw, -87.19 pitch, 133.61 roll, 492722 ms, 0 flight state
8m13s885ms, 994 hPa, 30 *C, 35 %, -1 m above launch, 86.94 yaw, -89.14 pitch, -86.48 roll, 493885 ms, 0 flight state
8m15s65ms, 994 hPa, 30 *C, 35 %, -1 m above launch, 57.71 yaw, -87.47 pitch, -91.72 roll, 495065 ms, 0 flight state
8m16s225ms, 994 hPa, 30 *C, 35 %, -1 m above launch, -141.34 yaw, -88.70 pitch, 94.13 roll, 496225 ms, 0 flight state
8m17s407ms, 994 hPa, 30 *C, 35 %, -1 m above launch, -160.78 yaw, -88.93 pitch, 128.76 roll, 497407 ms, 0 flight state
8m18s572ms, 994 hPa, 30 *C, 35 %, -1 m above launch, -95.48 yaw, -83.44 pitch, 87.46 roll, 498572 ms, 0 flight state
8m19s752ms, 994 hPa, 30 *C, 35 %, -1 m above launch, -87.38 yaw, -86.32 pitch, 88.00 roll, 499752 ms, 0 flight state
8m20s913ms, 994 hPa, 30 *C, 35 %, -1 m above launch, 125.48 yaw, -84.21 pitch, -132.79 roll, 500913 ms, 0 flight state
8m22s97ms, 994 hPa, 30 *C, 35 %, 0 m above launch, 53.17 yaw, -86.42 pitch, -86.45 roll, 502097 ms, 0 flight state
8m23s254ms, 994 hPa, 30 *C, 35 %, 0 m above launch, 167.68 yaw, -84.80 pitch, 158.19 roll, 503254 ms, 0 flight state
8m24s434ms, 994 hPa, 30 *C, 35 %, 0 m above launch, 177.08 yaw, -76.24 pitch, -127.24 roll, 504434 ms, 0 flight state
8m25s597ms, 994 hPa, 30 *C, 35 %, 1 m above launch, 70.06 yaw, -77.43 pitch, 131.85 roll, 505597 ms, 0 flight state
8m26s777ms, 994 hPa, 30 *C, 35 %, 2 m above launch, -59.91 yaw, -86.75 pitch, 83.89 roll, 506777 ms, 0 flight state
8m27s936ms, 994 hPa, 30 *C, 35 %, 3 m above launch, 80.46 yaw, -80.47 pitch, -108.60 roll, 507936 ms, 0 flight state
8m29s117ms, 994 hPa, 30 *C, 35 %, 3 m above launch, 127.13 yaw, -87.42 pitch, 53.83 roll, 509117 ms, 0 flight state
8m30s276ms, 994 hPa, 31 *C, 35 %, 3 m above launch, 138.52 yaw, -83.62 pitch, -98.94 roll, 510276 ms, 0 flight state
8m31s455ms, 994 hPa, 31 *C, 35 %, 4 m above launch, -80.90 yaw, -84.57 pitch, -16.21 roll, 511455 ms, 0 flight state
8m32s616ms, 994 hPa, 31 *C, 35 %, 5 m above launch, -24.64 yaw, -84.04 pitch, 131.21 roll, 512616 ms, 0 flight state
8m33s796ms, 994 hPa, 31 *C, 35 %, 5 m above launch, 95.47 yaw, -87.36 pitch, -67.26 roll, 513796 ms, 0 flight state
8m34s955ms, 994 hPa, 31 *C, 35 %, 5 m above launch, 155.86 yaw, -77.51 pitch, 66.86 roll, 514955 ms, 0 flight state
8m36s132ms, 994 hPa, 31 *C, 35 %, 5 m above launch, 79.48 yaw, -88.38 pitch, 88.26 roll, 516132 ms, 0 flight state
8m37s289ms, 993 hPa, 31 *C, 35 %, 6 m above launch, -109.68 yaw, -76.12 pitch, -138.73 roll, 517289 ms, 0 flight state
8m38s472ms, 993 hPa, 31 *C, 35 %, 6 m above launch, -118.50 yaw, -86.67 pitch, -120.03 roll, 518472 ms, 0 flight state
8m39s638ms, 993 hPa, 31 *C, 35 %, 7 m above launch, -98.35 yaw, -85.10 pitch, 144.89 roll, 519638 ms, 0 flight state
8m40s817ms, 993 hPa, 31 *C, 35 %, 8 m above launch, -122.06 yaw, -87.41 pitch, 82.15 roll, 520817 ms, 0 flight state
8m41s978ms, 993 hPa, 31 *C, 35 %, 9 m above launch, -177.46 yaw, -88.13 pitch, -141.17 roll, 521978 ms, 0 flight state
8m43s163ms, 993 hPa, 31 *C, 35 %, 9 m above launch, 4.87 yaw, -87.55 pitch, -45.06 roll, 523163 ms, 0 flight state
8m44s320ms, 993 hPa, 31 *C, 35 %, 10 m above launch, -67.90 yaw, -82.52 pitch, 36.87 roll, 524320 ms, 0 flight state
8m45s501ms, 993 hPa, 31 *C, 34 %, 10 m above launch, 145.79 yaw, -86.62 pitch, -83.74 roll, 525501 ms, 0 flight state
8m46s664ms, 993 hPa, 31 *C, 34 %, 11 m above launch, 139.03 yaw, -84.66 pitch, -58.87 roll, 526664 ms, 0 flight state
Ascending
8m47s858ms, 993 hPa, 31 *C, 34 %, 11 m above launch, 60.28 yaw, -87.87 pitch, -97.21 roll, 527858 ms, 1 flight state
8m49s19ms, 993 hPa, 31 *C, 34 %, 12 m above launch, 168.52 yaw, -87.90 pitch, -161.44 roll, 529019 ms, 1 flight state
8m50s201ms, 993 hPa, 31 *C, 34 %, 12 m above launch, 177.59 yaw, -84.50 pitch, 111.75 roll, 530201 ms, 1 flight state
8m51s364ms, 993 hPa, 31 *C, 34 %, 12 m above launch, 128.34 yaw, -87.50 pitch, 104.34 roll, 531364 ms, 1 flight state
8m52s546ms, 993 hPa, 31 *C, 34 %, 13 m above launch, -1.33 yaw, -84.43 pitch, 150.91 roll, 532546 ms, 1 flight state
8m53s707ms, 993 hPa, 31 *C, 34 %, 13 m above launch, 69.92 yaw, -85.64 pitch, 70.70 roll, 533707 ms, 1 flight state
8m54s886ms, 993 hPa, 31 *C, 34 %, 14 m above launch, -91.36 yaw, -84.55 pitch, -129.48 roll, 534886 ms, 1 flight state
8m56s51ms, 993 hPa, 31 *C, 34 %, 14 m above launch, 80.51 yaw, -83.44 pitch, -28.28 roll, 536051 ms, 1 flight state
8m57s230ms, 992 hPa, 31 *C, 34 %, 15 m above launch, -104.50 yaw, -80.44 pitch, 61.45 roll, 537230 ms, 1 flight state
8m58s393ms, 992 hPa, 31 *C, 34 %, 16 m above launch, 77.64 yaw, -80.72 pitch, -82.88 roll, 538393 ms, 1 flight state
8m59s573ms, 992 hPa, 31 *C, 34 %, 16 m above launch, -158.56 yaw, -83.07 pitch, -139.32 roll, 539573 ms, 1 flight state
9m0s740ms, 992 hPa, 31 *C, 34 %, 17 m above launch, 143.25 yaw, -87.72 pitch, 161.97 roll, 540740 ms, 1 flight state
9m1s920ms, 992 hPa, 31 *C, 34 %, 18 m above launch, -17.03 yaw, -86.65 pitch, 61.11 roll, 541920 ms, 1 flight state
9m3s79ms, 992 hPa, 31 *C, 34 %, 18 m above launch, 68.95 yaw, -81.62 pitch, -77.07 roll, 543079 ms, 1 flight state
9m4s254ms, 992 hPa, 31 *C, 34 %, 18 m above launch, -165.53 yaw, -86.27 pitch, 98.45 roll, 544254 ms, 1 flight state
9m5s415ms, 992 hPa, 31 *C, 34 %, 19 m above launch, -4.56 yaw, -82.34 pitch, 46.39 roll, 545415 ms, 1 flight state
9m6s591ms, 992 hPa, 31 *C, 34 %, 19 m above launch, 150.98 yaw, -79.41 pitch, 163.49 roll, 546591 ms, 1 flight state
9m7s752ms, 992 hPa, 31 *C, 34 %, 20 m above launch, -81.32 yaw, -89.36 pitch, 139.18 roll, 547752 ms, 1 flight state
9m8s931ms, 992 hPa, 31 *C, 34 %, 20 m above launch, -128.60 yaw, -86.98 pitch, -75.05 roll, 548931 ms, 1 flight state
9m10s95ms, 992 hPa, 31 *C, 34 %, 21 m above launch, 36.68 yaw, -86.37 pitch, 122.49 roll, 550095 ms, 1 flight state
9m11s272ms, 992 hPa, 31 *C, 34 %, 21 m above launch, -0.73 yaw, -86.76 pitch, 149.88 roll, 551272 ms, 1 flight state
9m12s434ms, 992 hPa, 31 *C, 34 %, 22 m above launch, -21.75 yaw, -78.48 pitch, -167.75 roll, 552434 ms, 1 flight state
9m13s617ms, 992 hPa, 31 *C, 34 %, 23 m above launch, 167.75 yaw, -86.88 pitch, 46.90 roll, 553617 ms, 1 flight state
9m14s778ms, 991 hPa, 31 *C, 34 %, 23 m above launch, 177.91 yaw, -84.71 pitch, -19.52 roll, 554778 ms, 1 flight state
9m15s960ms, 991 hPa, 31 *C, 34 %, 24 m above launch, 164.37 yaw, -87.98 pitch, -57.92 roll, 555960 ms, 1 flight state
9m17s123ms, 991 hPa, 31 *C, 34 %, 24 m above launch, 169.18 yaw, -85.74 pitch, -157.23 roll, 557123 ms, 1 flight state
9m18s307ms, 991 hPa, 31 *C, 34 %, 24 m above launch, -102.93 yaw, -88.92 pitch, 1.55 roll, 558307 ms, 1 flight state
9m19s468ms, 991 hPa, 31 *C, 34 %, 24 m above launch, 28.20 yaw, -85.71 pitch, -29.42 roll, 559468 ms, 1 flight state
9m20s648ms, 991 hPa, 31 *C, 34 %, 24 m above launch, 118.67 yaw, -86.69 pitch, -83.41 roll, 560648 ms, 1 flight state
9m21s811ms, 991 hPa, 31 *C, 34 %, 24 m above launch, 144.04 yaw, -84.05 pitch, -85.42 roll, 561811 ms, 1 flight state
9m22s993ms, 991 hPa, 31 *C, 34 %, 24 m above launch, 43.91 yaw, -85.93 pitch, -21.77 roll, 562993 ms, 1 flight state
9m24s154ms, 991 hPa, 31 *C, 34 %, 24 m above launch, 29.15 yaw, -88.34 pitch, -57.71 roll, 564154 ms, 1 flight state
9m25s334ms, 991 hPa, 31 *C, 34 %, 24 m above launch, -34.49 yaw, -85.55 pitch, -12.97 roll, 565334 ms, 1 flight state
9m26s497ms, 991 hPa, 31 *C, 34 %, 24 m above launch, 77.43 yaw, -88.73 pitch, -75.91 roll, 566497 ms, 1 flight state
9m27s676ms, 991 hPa, 31 *C, 34 %, 24 m above launch, 88.38 yaw, -89.49 pitch, -108.35 roll, 567676 ms, 1 flight state
9m28s839ms, 991 hPa, 31 *C, 34 %, 25 m above launch, 163.57 yaw, -85.80 pitch, 179.96 roll, 568839 ms, 1 flight state
9m30s22ms, 991 hPa, 31 *C, 34 %, 29 m above launch, 88.84 yaw, -84.89 pitch, -75.70 roll, 570022 ms, 1 flight state
9m31s182ms, 990 hPa, 31 *C, 34 %, 36 m above launch, 131.07 yaw, -82.12 pitch, -145.45 roll, 571182 ms, 1 flight state
9m32s366ms, 989 hPa, 31 *C, 34 %, 45 m above launch, 125.57 yaw, -87.10 pitch, -55.02 roll, 572366 ms, 1 flight state
9m33s529ms, 988 hPa, 31 *C, 34 %, 53 m above launch, -55.49 yaw, -85.84 pitch, -91.37 roll, 573529 ms, 1 flight state
9m34s711ms, 987 hPa, 31 *C, 34 %, 60 m above launch, 147.28 yaw, -76.62 pitch, 177.87 roll, 574711 ms, 1 flight state
9m35s874ms, 986 hPa, 31 *C, 34 %, 66 m above launch, 21.99 yaw, -56.77 pitch, 70.61 roll, 575874 ms, 1 flight state
9m37s52ms, 986 hPa, 31 *C, 33 %, 73 m above launch, -126.75 yaw, -89.02 pitch, 176.77 roll, 577052 ms, 1 flight state
9m38s215ms, 985 hPa, 31 *C, 33 %, 80 m above launch, -61.60 yaw, -83.05 pitch, 98.23 roll, 578215 ms, 1 flight state
9m39s395ms, 984 hPa, 31 *C, 33 %, 86 m above launch, 117.18 yaw, -76.84 pitch, 178.23 roll, 579395 ms, 1 flight state
9m40s558ms, 983 hPa, 31 *C, 33 %, 92 m above launch, 116.66 yaw, -79.86 pitch, 95.43 roll, 580558 ms, 1 flight state
9m41s738ms, 982 hPa, 31 *C, 33 %, 99 m above launch, 83.63 yaw, -80.38 pitch, 29.05 roll, 581738 ms, 1 flight state
9m42s897ms, 982 hPa, 31 *C, 33 %, 107 m above launch, 170.63 yaw, -73.45 pitch, -178.05 roll, 582897 ms, 1 flight state
9m44s83ms, 981 hPa, 31 *C, 33 %, 115 m above launch, -167.56 yaw, -77.75 pitch, -39.55 roll, 584083 ms, 1 flight state
9m45s248ms, 980 hPa, 31 *C, 33 %, 122 m above launch, -100.74 yaw, -79.84 pitch, -50.41 roll, 585248 ms, 1 flight state
9m46s434ms, 979 hPa, 31 *C, 33 %, 131 m above launch, -1.78 yaw, -75.62 pitch, 177.55 roll, 586434 ms, 1 flight state
9m47s598ms, 978 hPa, 32 *C, 33 %, 139 m above launch, -63.02 yaw, -80.09 pitch, -132.88 roll, 587598 ms, 1 flight state
9m48s784ms, 977 hPa, 32 *C, 33 %, 147 m above launch, 19.69 yaw, -71.60 pitch, 26.16 roll, 588784 ms, 1 flight state
9m49s945ms, 976 hPa, 32 *C, 33 %, 154 m above launch, 49.36 yaw, -66.66 pitch, -131.11 roll, 589945 ms, 1 flight state
9m51s129ms, 975 hPa, 32 *C, 33 %, 161 m above launch, 141.83 yaw, -70.91 pitch, -23.46 roll, 591129 ms, 1 flight state
9m52s294ms, 975 hPa, 32 *C, 33 %, 168 m above launch, -146.33 yaw, -85.07 pitch, 157.81 roll, 592294 ms, 1 flight state
9m53s480ms, 974 hPa, 32 *C, 33 %, 174 m above launch, 179.23 yaw, -80.41 pitch, 16.16 roll, 593480 ms, 1 flight state
9m54s644ms, 973 hPa, 32 *C, 33 %, 180 m above launch, 17.02 yaw, -82.20 pitch, -164.29 roll, 594644 ms, 1 flight state
9m55s829ms, 972 hPa, 32 *C, 33 %, 187 m above launch, 163.65 yaw, -85.75 pitch, -144.24 roll, 595829 ms, 1 flight state
9m56s996ms, 972 hPa, 32 *C, 33 %, 193 m above launch, -89.54 yaw, -75.06 pitch, -54.65 roll, 596996 ms, 1 flight state
9m58s180ms, 971 hPa, 32 *C, 33 %, 202 m above launch, -11.65 yaw, -75.65 pitch, -115.77 roll, 598180 ms, 1 flight state
9m59s347ms, 970 hPa, 32 *C, 33 %, 210 m above launch, 0.86 yaw, -79.80 pitch, -110.55 roll, 599347 ms, 1 flight state
10m0s529ms, 969 hPa, 32 *C, 33 %, 219 m above launch, 68.39 yaw, -75.68 pitch, -129.50 roll, 600529 ms, 1 flight state
10m1s695ms, 968 hPa, 32 *C, 33 %, 227 m above launch, 143.38 yaw, -79.47 pitch, -140.03 roll, 601695 ms, 1 flight state
10m2s880ms, 967 hPa, 32 *C, 33 %, 234 m above launch, 115.97 yaw, -75.44 pitch, 174.15 roll, 602880 ms, 1 flight state
10m4s46ms, 966 hPa, 32 *C, 33 %, 239 m above launch, -156.31 yaw, -69.68 pitch, 23.63 roll, 604046 ms, 1 flight state
10m5s228ms, 965 hPa, 32 *C, 33 %, 246 m above launch, -36.23 yaw, -61.73 pitch, 160.82 roll, 605228 ms, 1 flight state
10m6s393ms, 965 hPa, 32 *C, 33 %, 254 m above launch, -45.15 yaw, -81.42 pitch, -86.01 roll, 606393 ms, 1 flight state
10m7s576ms, 964 hPa, 32 *C, 33 %, 262 m above launch, 88.92 yaw, -70.76 pitch, -90.76 roll, 607576 ms, 1 flight state
10m8s740ms, 963 hPa, 32 *C, 32 %, 270 m above launch, 106.98 yaw, -78.14 pitch, 6.78 roll, 608740 ms, 1 flight state
10m9s919ms, 962 hPa, 32 *C, 32 %, 273 m above launch, 171.61 yaw, -62.35 pitch, -161.29 roll, 609919 ms, 1 flight state
10m11s86ms, 964 hPa, 32 *C, 32 %, 262 m above launch, 1.98 yaw, -81.95 pitch, -69.19 roll, 611086 ms, 1 flight state
10m12s266ms, 965 hPa, 32 *C, 32 %, 253 m above launch, -177.05 yaw, 50.93 pitch, -97.14 roll, 612266 ms, 1 flight state
10m13s433ms, 966 hPa, 32 *C, 32 %, 244 m above launch, 165.59 yaw, -86.27 pitch, -164.46 roll, 613433 ms, 1 flight state
10m14s622ms, 967 hPa, 32 *C, 32 %, 237 m above launch, -114.38 yaw, -82.29 pitch, 36.16 roll, 614622 ms, 1 flight state
10m15s789ms, 968 hPa, 32 *C, 32 %, 226 m above launch, 146.94 yaw, -57.59 pitch, 26.72 roll, 615789 ms, 1 flight state
10m16s974ms, 968 hPa, 32 *C, 32 %, 221 m above launch, 32.83 yaw, -49.29 pitch, -83.66 roll, 616974 ms, 1 flight state
10m18s139ms, 969 hPa, 32 *C, 32 %, 211 m above launch, 52.37 yaw, -68.77 pitch, 9.91 roll, 618139 ms, 1 flight state
10m19s319ms, 970 hPa, 32 *C, 32 %, 205 m above launch, 34.28 yaw, -67.62 pitch, 27.09 roll, 619319 ms, 1 flight state
10m20s482ms, 971 hPa, 32 *C, 31 %, 195 m above launch, 158.97 yaw, -87.27 pitch, 0.49 roll, 620482 ms, 1 flight state
10m21s663ms, 972 hPa, 32 *C, 31 %, 191 m above launch, -36.56 yaw, -50.39 pitch, 111.82 roll, 621663 ms, 1 flight state
10m22s830ms, 973 hPa, 32 *C, 31 %, 178 m above launch, 65.35 yaw, -81.87 pitch, 112.29 roll, 622830 ms, 1 flight state
10m24s13ms, 974 hPa, 32 *C, 31 %, 171 m above launch, 152.28 yaw, -39.43 pitch, -119.40 roll, 624013 ms, 1 flight state
10m25s180ms, 975 hPa, 32 *C, 31 %, 165 m above launch, -14.58 yaw, -80.48 pitch, 162.26 roll, 625180 ms, 1 flight state
10m26s366ms, 976 hPa, 32 *C, 30 %, 157 m above launch, 91.60 yaw, -79.57 pitch, 54.29 roll, 626366 ms, 1 flight state
10m27s529ms, 977 hPa, 32 *C, 30 %, 148 m above launch, -82.04 yaw, -56.66 pitch, -47.67 roll, 627529 ms, 1 flight state
10m28s715ms, 978 hPa, 32 *C, 30 %, 142 m above launch, 11.76 yaw, -68.69 pitch, 26.24 roll, 628715 ms, 1 flight state
10m29s878ms, 978 hPa, 32 *C, 30 %, 135 m above launch, 89.87 yaw, -52.61 pitch, 179.80 roll, 629878 ms, 1 flight state
10m31s62ms, 980 hPa, 32 *C, 30 %, 125 m above launch, -149.66 yaw, -31.14 pitch, -139.62 roll, 631062 ms, 1 flight state
10m32s232ms, 980 hPa, 32 *C, 30 %, 117 m above launch, 27.33 yaw, -29.30 pitch, -73.00 roll, 632232 ms, 1 flight state
10m33s415ms, 982 hPa, 32 *C, 30 %, 108 m above launch, -134.63 yaw, -53.85 pitch, 20.11 roll, 633415 ms, 1 flight state
10m34s583ms, 982 hPa, 32 *C, 30 %, 100 m above launch, 51.32 yaw, -73.98 pitch, 89.77 roll, 634583 ms, 1 flight state
10m35s764ms, 983 hPa, 32 *C, 30 %, 92 m above launch, -78.61 yaw, -55.12 pitch, -132.38 roll, 635764 ms, 1 flight state
10m36s932ms, 984 hPa, 32 *C, 30 %, 83 m above launch, -123.28 yaw, -72.14 pitch, 171.51 roll, 636932 ms, 1 flight state
10m38s118ms, 985 hPa, 32 *C, 30 %, 75 m above launch, -1.43 yaw, -58.89 pitch, 52.31 roll, 638118 ms, 1 flight state
10m39s279ms, 986 hPa, 32 *C, 30 %, 69 m above launch, 117.09 yaw, -55.53 pitch, -92.02 roll, 639279 ms, 1 flight state
10m40s463ms, 987 hPa, 32 *C, 29 %, 59 m above launch, 72.95 yaw, -67.23 pitch, 112.56 roll, 640463 ms, 1 flight state
10m41s626ms, 988 hPa, 32 *C, 29 %, 53 m above launch, 131.59 yaw, -74.84 pitch, 17.94 roll, 641626 ms, 1 flight state
10m42s809ms, 989 hPa, 32 *C, 29 %, 42 m above launch, -86.63 yaw, -32.95 pitch, 4.60 roll, 642809 ms, 1 flight state
10m43s970ms, 990 hPa, 32 *C, 29 %, 35 m above launch, 56.89 yaw, -18.81 pitch, 25.10 roll, 643970 ms, 1 flight state
10m45s149ms, 991 hPa, 32 *C, 29 %, 27 m above launch, -90.40 yaw, -57.83 pitch, 122.09 roll, 645149 ms, 1 flight state
10m46s315ms, 992 hPa, 32 *C, 29 %, 21 m above launch, 76.81 yaw, -81.67 pitch, 2.02 roll, 646315 ms, 1 flight state
10m47s492ms, 993 hPa, 32 *C, 29 %, 13 m above launch, -38.10 yaw, -73.55 pitch, 16.28 roll, 647492 ms, 1 flight state
10m48s656ms, 993 hPa, 32 *C, 29 %, 8 m above launch, 120.08 yaw, -38.24 pitch, -121.04 roll, 648656 ms, 1 flight state
10m49s840ms, 994 hPa, 32 *C, 29 %, -1 m above launch, -115.12 yaw, -41.56 pitch, 32.32 roll, 649840 ms, 1 flight state
10m51s5ms, 995 hPa, 32 *C, 29 %, -4 m above launch, 24.08 yaw, -30.04 pitch, -164.28 roll, 651005 ms, 1 flight state
10m52s185ms, 995 hPa, 32 *C, 29 %, -5 m above launch, 137.84 yaw, -70.33 pitch, -0.24 roll, 652185 ms, 1 flight state
10m53s349ms, 995 hPa, 32 *C, 29 %, -5 m above launch, 139.26 yaw, 4.93 pitch, 3.91 roll, 653349 ms, 1 flight state
10m54s524ms, 995 hPa, 32 *C, 29 %, -4 m above launch, 82.21 yaw, -0.23 pitch, 70.38 roll, 654524 ms, 1 flight state
10m55s683ms, 995 hPa, 32 *C, 29 %, -4 m above launch, 82.22 yaw, 0.08 pitch, 70.18 roll, 655683 ms, 1 flight state
10m56s859ms, 995 hPa, 32 *C, 29 %, -5 m above launch, 82.24 yaw, 0.09 pitch, 70.15 roll, 656859 ms, 1 flight state
10m58s16ms, 995 hPa, 32 *C, 29 %, -5 m above launch, 82.28 yaw, 0.10 pitch, 70.06 roll, 658016 ms, 1 flight state
10m59s190ms, 995 hPa, 32 *C, 29 %, -5 m above launch, 82.33 yaw, 0.11 pitch, 70.01 roll, 659190 ms, 1 flight state
11m0s346ms, 995 hPa, 32 *C, 29 %, -5 m above launch, 82.36 yaw, 0.12 pitch, 69.94 roll, 660346 ms, 1 flight state
11m1s520ms, 995 hPa, 32 *C, 29 %, -5 m above launch, 82.37 yaw, 0.14 pitch, 69.89 roll, 661520 ms, 1 flight state
11m2s675ms, 995 hPa, 32 *C, 29 %, -5 m above launch, 82.39 yaw, 0.14 pitch, 69.81 roll, 662675 ms, 1 flight state
11m3s848ms, 995 hPa, 32 *C, 29 %, -4 m above launch, 82.42 yaw, 0.16 pitch, 69.74 roll, 663848 ms, 1 flight state
